word,partOfSpeech,englishDefinition,chineseTranslation
subject + verb,sentence pattern,"Put the doer before the action; Students study.",主詞加動詞；先寫做動作的人或事物
subject + be + adjective,sentence pattern,"Use be before a describing word; The class is useful.",主詞加 be 動詞加形容詞；描述主詞的狀態
there is / there are,sentence pattern,"Use this to say something exists; There are two reasons.",用來表示某事物存在；單數用 there is 複數用 there are
a / an + singular count noun,sentence pattern,"Use a or an before one non-specific countable thing; an idea.",可數單數名詞前用 a 或 an；表示不特定的一個
the + specific noun,sentence pattern,"Use the for a known or specific thing; the assignment.",特定或雙方都知道的名詞前使用 the
plural noun + plural verb,sentence pattern,"Match a plural subject with a plural verb; Students need help.",複數主詞搭配複數動詞形式
he / she / it + verb-s,sentence pattern,"Add s to a present-tense verb after he she or it; She works.",現在簡單式中 he she it 後的動詞通常加 s
did + base verb,sentence pattern,"Use the base verb after did; Did you submit it?",did 後使用原形動詞
have / has + past participle,sentence pattern,"Use this for a past action connected to now; I have finished.",現在完成式；表示過去行動與現在有關
be + verb-ing,sentence pattern,"Use this for an action in progress; They are waiting.",進行式；表示正在進行的動作
be + past participle,sentence pattern,"Use this when the receiver is more important; The class was canceled.",被動語態；重點放在接受動作的人或事物
want / need + to-infinitive,sentence pattern,"Use to plus the base verb after want or need; I need to leave.",want 或 need 後接 to 加原形動詞
enjoy / avoid + verb-ing,sentence pattern,"Use an ing form after enjoy or avoid; I enjoy reading.",enjoy 或 avoid 後接動名詞
can / should + base verb,sentence pattern,"Use the base verb after a modal; We should prepare.",情態動詞 can 或 should 後接原形動詞
because + clause,sentence pattern,"Give a reason with a subject and verb; I left because I was ill.",because 後接包含主詞和動詞的完整原因子句
because of + noun,sentence pattern,"Give a reason with a noun; The class moved because of the storm.",because of 後接名詞或名詞片語
although + clause,sentence pattern,"Show an unexpected contrast; Although it was hard I finished.",although 加完整子句表示讓步轉折
"if + present, will + verb",sentence pattern,"State a real future condition; If I have time I will attend.",真實未來條件句；if 子句用現在式主句用 will
more ... than,sentence pattern,"Compare two things; Online study is more flexible than class study.",比較兩件事；表示前者比後者更……
as ... as,sentence pattern,"Show equal degree; The book is as useful as the video.",表示兩者程度相同；和……一樣……
one of the + plural noun,sentence pattern,"Use a plural noun after this phrase; one of the reasons.",one of the 後接複數名詞；表示其中之一
noun + that / which + clause,sentence pattern,"Add information about a thing; a course that teaches design.",用 that 或 which 子句補充說明事物
person + who + clause,sentence pattern,"Add information about a person; a teacher who helps students.",用 who 子句補充說明人物
preposition + noun / verb-ing,sentence pattern,"Use a noun or ing form after a preposition; before leaving.",介系詞後接名詞或動名詞
