word,partOfSpeech,englishDefinition,chineseTranslation
prefix un-,word part,usually means not or the opposite as in unclear,字首 un- 通常表示不或相反；例如 unclear
prefix re-,word part,usually means again or back as in rebuild,字首 re- 通常表示再次或回到；例如 rebuild
prefix pre-,word part,usually means before as in prehistoric,字首 pre- 通常表示在……之前；例如 prehistoric
prefix inter-,word part,usually means between or among as in international,字首 inter- 通常表示在……之間；例如 international
prefix sub-,word part,usually means under or below as in submarine,字首 sub- 通常表示在下方或較低層級
prefix trans-,word part,usually means across or change as in transport,字首 trans- 通常表示跨越或轉變
suffix -tion / -sion,word part,often changes a verb into a noun as in decide and decision,字尾 -tion 或 -sion 常把動詞變成名詞
suffix -ment,word part,often forms a noun for an action or result as in develop and development,字尾 -ment 常形成表示行動或結果的名詞
suffix -ity,word part,often forms a noun for a state or quality as in active and activity,字尾 -ity 常形成表示狀態或特質的名詞
suffix -ous,word part,often forms an adjective meaning full of as in danger and dangerous,字尾 -ous 常形成形容詞；表示具有某特質
suffix -ive,word part,often forms an adjective as in create and creative,字尾 -ive 常形成形容詞
suffix -al,word part,often forms an adjective meaning related to as in culture and cultural,字尾 -al 常形成表示與……相關的形容詞
suffix -ly,word part,often changes an adjective into an adverb as in quick and quickly,字尾 -ly 常把形容詞變成副詞
noun after an article,context clue,a or the usually signals that a noun follows,a 或 the 後面通常會出現名詞
adjective before a noun,context clue,a describing word often appears directly before a noun,形容詞通常直接放在名詞前描述它
adverb modifies a verb/adjective,context clue,an adverb often tells how or how much,副詞常說明動作如何進行或程度多高
synonym clue,context clue,a nearby word with the same meaning explains the unknown word,附近的同義詞可解釋不熟悉的字
definition clue,context clue,the sentence directly states what the unknown word means,句子直接說明不熟悉單字的意思
example clue,context clue,examples after words like such as help show meaning,such as 等詞後的例子能幫助判斷意思
contrast clue,context clue,an opposite idea after but or however helps show meaning,but 或 however 後的相反概念可幫助推測意思
cause-and-effect clue,context clue,a cause or result can reveal the meaning of an unknown word,原因或結果可幫助推測陌生字義
pronoun reference,reading skill,look backward to find the noun that it they or this replaces,向前找出 it they 或 this 所代替的名詞
nearby context,reading skill,read the words before and after an unknown word for clues,閱讀陌生字前後的內容尋找線索
word family,reading skill,connect related forms such as analyze analysis and analytical,連結同字族的不同詞形以協助理解
