word,partOfSpeech,englishDefinition,chineseTranslation
negotiate,verb,to discuss terms to reach an agreement,谈判
milestone,noun,a significant stage in a process,里程碑
resilient,adjective,able to recover quickly from difficulties,有韧性的
allocate,verb,to distribute resources for a specific purpose,分配
cohesive,adjective,forming a united whole,有凝聚力的
iteration,noun,a repeated cycle used to improve something,迭代
feasible,adjective,possible to do easily or conveniently,可行的
articulate,verb,to express an idea clearly and effectively,清晰表达
benchmark,noun,a standard used as a point of reference,基准
prioritize,verb,to arrange tasks by importance,确定优先级
