word,partOfSpeech,englishDefinition,chineseTranslation
increase,verb,to become or make greater in size or amount,增加
decrease,verb,to become or make smaller in size or amount,減少
fluctuate,verb,to rise and fall irregularly,波動
peak,noun,the highest point of a value or graph,高峰
plateau,verb,to reach a stable level and remain there,趨於平穩
decline,noun,a gradual and continuous decrease,下降
surge,noun,a sudden large increase,激增
plummet,verb,to fall steeply and suddenly,驟降
trend,noun,a general direction of change over time,趨勢
proportion,noun,a part considered in relation to the whole,比例
approximately,adverb,used to show that an amount is not exact,大約
steadily,adverb,in a gradual and constant manner,穩定地
dramatically,adverb,in a sudden and striking way,劇烈地
respectively,adverb,in the order already mentioned,分別地
majority,noun,the greater part or number,多數
minority,noun,the smaller part or number,少數
axis,noun,a fixed reference line on a graph,座標軸
category,noun,a class or division of things,類別
horizontal,adjective,parallel to the ground; from side to side,水平的
vertical,adjective,upright; from top to bottom,垂直的
overall,adjective,taking everything into account,整體的
gradual,adjective,taking place slowly over time,逐漸的
fluctuation,noun,an irregular rise and fall in amount,波動
stable,adjective,not changing or fluctuating,穩定的
compare,verb,to examine similarities and differences,比較
illustrate,verb,to make something clear by using examples,說明
represent,verb,to depict or stand for something,代表
depict,verb,to show or portray in a picture or graph,描繪
indicate,verb,to point out or show something,顯示
estimate,verb,to roughly calculate a value or amount,估計
