word,partOfSpeech,englishDefinition,chineseTranslation
"Dear Professor [Name],",email phrase,"Use this polite greeting for a teacher; Dear Professor Lee.",寫給教授或老師的禮貌開頭
I am writing about ...,email phrase,"State the topic of the email; I am writing about the assignment.",說明郵件主題；我寫信是關於……
I am writing to ask whether ...,email phrase,"Introduce a polite yes-or-no question; I am writing to ask whether the date can change.",禮貌提出是否可以的問題
Could you please ...?,email phrase,"Make a polite request; Could you please send the file?",禮貌提出請求；您可以……嗎
Would it be possible to ...?,email phrase,"Ask politely if an action can happen; Would it be possible to meet Friday?",禮貌詢問某件事是否可行
I would appreciate it if ...,email phrase,"Make a formal polite request; I would appreciate it if you could reply.",較正式的禮貌請求；若您能……我會很感激
I am having difficulty with ...,email phrase,"Explain a problem; I am having difficulty with the website.",說明遇到的困難；我在……方面有問題
The reason is that ...,email phrase,"Give a clear explanation; The reason is that I was ill.",清楚說明原因；原因是……
I am sorry for ...,email phrase,"Give a simple apology; I am sorry for the late reply.",簡短道歉；對於……我很抱歉
I apologize for the inconvenience.,email phrase,Use this when your action caused trouble,若自己的行為造成麻煩可用此句致歉
"Unfortunately, ...",email phrase,"Introduce bad news politely; Unfortunately I cannot attend.",禮貌引出壞消息；很遺憾……
Could you clarify ...?,email phrase,"Ask for clearer information; Could you clarify the instructions?",請對方說明得更清楚
Are you available on ...?,email phrase,"Ask about a meeting time; Are you available on Tuesday?",詢問對方某天或某時段是否有空
Please let me know ...,email phrase,"Ask the reader to give information; Please let me know what time works.",請對方告知所需資訊
Thank you for your time.,email phrase,Politely thank someone for reading or helping,感謝對方花時間閱讀或協助
Thank you for your understanding.,email phrase,Thank someone for accepting a difficult situation,感謝對方體諒不便或特殊情況
I look forward to your reply.,email phrase,Politely say that you expect an answer,禮貌表示期待對方回覆
"Best regards,",email phrase,Use this polite closing before your name,在署名前使用的禮貌結尾
