word,partOfSpeech,englishDefinition,chineseTranslation
furthermore,adverb,in addition to what has been said,此外
however,adverb,used to introduce a statement that contrasts,然而
nevertheless,adverb,in spite of what has just been said,儘管如此
consequently,adverb,as a result of something,因此
therefore,adverb,for that reason,所以
moreover,adverb,as a further and more important matter,而且
whereas,conjunction,in contrast or comparison with the fact that,反之
although,conjunction,in spite of the fact that,雖然
despite,preposition,without being affected by something,儘管
regarding,preposition,with respect to; concerning,關於
argue,verb,to give reasons for or against something,主張
claim,verb,to state something as true without proof,聲稱
justify,verb,to show or prove something to be reasonable,證明合理
acknowledge,verb,to accept or admit the truth of something,承認
advocate,verb,to publicly support a cause or policy,提倡
perspective,noun,a particular way of viewing things,觀點
consequence,noun,a result or effect of an action,後果
benefit,noun,an advantage gained from something,益處
drawback,noun,a disadvantage or problem,缺點
solution,noun,a means of solving a problem,解決方案
tendency,noun,an inclination to act in a particular way,傾向
crucial,adjective,decisive or critically important,關鍵的
controversial,adjective,causing public disagreement,有爭議的
beneficial,adjective,producing good or helpful results,有益的
inevitable,adjective,certain to happen and unavoidable,不可避免的
substantial,adjective,large in amount or importance,可觀的
viable,adjective,capable of working successfully,可行的
predominantly,adverb,mainly or for the most part,主要地
arguably,adverb,as can be shown by argument,可以說
notably,adverb,in particular; especially,尤其
