word,partOfSpeech,englishDefinition,chineseTranslation
assignment,noun,a piece of work given by a teacher,作業；老師指定要完成的工作
deadline,noun,the latest time when work must be finished,截止期限；工作最晚必須完成的時間
schedule,noun,a plan showing times for activities,時間表；顯示活動時間的安排
available,adjective,free or ready to be used,有空的或可使用的
attend,verb,to go to a class meeting or event,出席；參加課程會議或活動
submit,verb,to give work to a teacher for review,繳交；把作業交給老師評閱
register,verb,to officially join a class or event,註冊；正式加入課程或活動
campus,noun,the buildings and land of a college,校園；大學的建築與土地
lecture,noun,a talk that teaches an academic subject,講課；教授學術主題的演講
appointment,noun,an arranged time to meet someone,預約；安排好與某人見面的時間
"I prefer ... because ...",speaking phrase,"State a choice and reason; I prefer mornings because I can focus.",表達偏好並說明原因
"I would choose ...",speaking phrase,"Answer a choice question directly; I would choose the first option.",直接回答選擇題；我會選擇……
One reason is ...,speaking phrase,Introduce one clear reason for your answer,提出支持答案的一個清楚理由
"From my experience, ...",speaking phrase,Introduce a short personal example for an interview answer,用簡短的個人經驗支持訪談回答
Could you repeat that?,conversation phrase,Ask politely to hear something again,禮貌請對方再說一次
"In other words, ...",speaking phrase,Explain the same idea in a clearer way,換句話說；用更清楚的方式重述想法
