word,partOfSpeech,englishDefinition,chineseTranslation
abstract,adjective,existing as an idea rather than a physical thing,抽象的
accumulate,verb,to gather or build up over time,累積
adequate,adjective,enough or satisfactory for a purpose,足夠的
advocate,noun,a person who publicly supports a cause,倡導者
ambiguous,adjective,open to more than one interpretation,模糊的
analogy,noun,a comparison between two similar things,類比
anticipate,verb,to expect or predict something,預期
arbitrary,adjective,based on random choice rather than reason,任意的
attribute,verb,to regard something as caused by something,歸因於
coherent,adjective,logical and consistent,連貫的
coincide,verb,to happen at the same time or place,同時發生
collaborate,verb,to work jointly with others,合作
comprehensive,adjective,covering everything completely,全面的
comprise,verb,to consist of or be made up of,包含
conceive,verb,to form an idea or plan in the mind,構想
conform,verb,to comply with rules or standards,遵從
constrain,verb,to restrict or limit something,約束
contradict,verb,to assert the opposite of a statement,反駁
correlate,verb,to have a mutual relationship,相互關聯
deduce,verb,to reach a conclusion by reasoning,推論
deficiency,noun,a lack or shortage of something,不足
denote,verb,to be a sign of or indicate,表示
deviate,verb,to depart from an established course,偏離
differentiate,verb,to recognise or express a difference,區別
diminish,verb,to make or become less,減少
discrete,adjective,individually separate and distinct,離散的
distinct,adjective,recognisably different in nature,獨特的
diverse,adjective,showing a great deal of variety,多樣的
elaborate,verb,to develop or present in detail,詳細闡述
elicit,verb,to draw out a response or reaction,引出
empirical,adjective,based on observation or experiment,經驗的
enhance,verb,to improve the quality or value of,提升
ensure,verb,to make certain that something happens,確保
equivalent,adjective,equal in value or meaning,等同的
exploit,verb,to make full use of a resource,利用
explicit,adjective,stated clearly and in detail,明確的
facilitate,verb,to make an action or process easier,促進
feasible,adjective,possible to do easily or conveniently,可行的
fundamental,adjective,forming a necessary base or core,基本的
hierarchy,noun,a system ranking things by importance,層級
hinder,verb,to create difficulties that delay something,阻礙
implicit,adjective,implied though not plainly expressed,含蓄的
incentive,noun,a thing that motivates or encourages,誘因
inherent,adjective,existing as a natural and permanent part,固有的
integrate,verb,to combine parts into a whole,整合
intervene,verb,to come between to alter an outcome,介入
intrinsic,adjective,belonging naturally; essential,本質的
manipulate,verb,to handle or control skilfully,操縱
mediate,verb,to intervene to settle a dispute,調解
notion,noun,a conception or belief about something,概念
nonetheless,adverb,in spite of that; nevertheless,儘管如此
objective,adjective,not influenced by personal feelings,客觀的
ongoing,adjective,continuing to exist or develop,持續進行的
paradigm,noun,a typical example or model,範式
paradox,noun,a seemingly contradictory statement,悖論
plausible,adjective,seeming reasonable or probable,貌似合理的
preliminary,adjective,coming before a main action,初步的
presume,verb,to suppose that something is true,假定
prevalent,adjective,widespread in a particular area,普遍的
prohibit,verb,to formally forbid something,禁止
prominent,adjective,important or famous; standing out,顯著的
prone,adjective,likely to suffer from or do something,易於
rational,adjective,based on reason or logic,理性的
reinforce,verb,to strengthen or support,強化
reluctant,adjective,unwilling and hesitant,不情願的
resilient,adjective,able to recover quickly from difficulty,有韌性的
scope,noun,the extent of an area or subject,範圍
scrutiny,noun,critical observation or examination,審視
simultaneously,adverb,at the same time,同時地
sophisticated,adjective,highly developed and complex,精密的
spectrum,noun,a wide range of related qualities,範圍
subjective,adjective,based on personal feelings or opinions,主觀的
supplement,verb,to add an extra element to something,補充
suppress,verb,to forcibly put an end to something,壓制
synthesis,noun,the combination of parts into a whole,綜合
underlying,adjective,forming the basis of something,潛在的
undermine,verb,to weaken gradually or secretly,削弱
undertake,verb,to commit to and begin a task,著手
uniform,adjective,remaining the same in all cases,一致的
utilise,verb,to make practical and effective use of,運用
