word,partOfSpeech,englishDefinition,chineseTranslation
"In my view, ...",discussion phrase,"State your opinion clearly; In my view public transport is essential.",清楚表達自己的觀點；依我看……
"I believe that ...",discussion phrase,"Give your main position; I believe that the policy is helpful.",提出主要立場；我認為……
"I agree that ...",discussion phrase,"Show agreement with an idea; I agree that cost is important.",表示同意某個觀點
"I agree with [name] because ...",discussion phrase,"Agree with a person and add a reason; I agree with Ana because time is limited.",同意某人的看法並補充理由
"I partly agree, but ...",discussion phrase,Show partial agreement before giving a different point,先表示部分同意再提出不同觀點
"I understand this point; however, ...",discussion phrase,Recognize an idea before politely disagreeing,先承認對方觀點再禮貌提出不同意見
The main reason is that ...,discussion phrase,"Introduce your strongest reason; The main reason is that it saves time.",引出最主要的理由
This is because ...,discussion phrase,"Explain the reason for the previous statement; This is because buses are cheaper.",解釋上一句的原因
Another reason is that ...,discussion phrase,Add a second supporting reason,加入第二個支持理由
"This is especially clear when ...",discussion phrase,"Introduce a situation that proves your point; This is especially clear when costs rise.",引出能證明觀點的具體情況
A good example is ...,discussion phrase,Introduce a clear real or imagined example,引出清楚的真實或假設例子
This can lead to ...,discussion phrase,"Explain a possible result; This can lead to lower costs.",說明可能產生的結果
This may help ...,discussion phrase,"Explain a possible benefit; This may help students focus.",說明可能帶來的好處
This may cause ...,discussion phrase,"Explain a possible problem; This may cause delays.",說明可能造成的問題
"A key difference is that ...",discussion phrase,"State the most important contrast; A key difference is that buses cost less.",指出兩者之間最重要的差異
"On the other hand, ...",discussion phrase,Introduce a different side of the issue,引出議題的另一面
It depends on ...,discussion phrase,"Show that the answer changes with the situation; It depends on the cost.",表示答案會依情況而改變
"In some cases, ...",discussion phrase,Avoid making a claim that is too general,避免把主張說得過於絕對
It is important to consider ...,discussion phrase,Introduce a factor that should not be ignored,引出不應忽略的考量因素
A possible solution is to ...,discussion phrase,Offer one practical way to solve a problem,提出一個可行的解決方法
"For these reasons, ...",discussion phrase,Summarize the support for your position,總結支持自己立場的理由
"Therefore, I think ...",discussion phrase,State a conclusion based on your reasons,根據前述理由提出結論
