word,partOfSpeech,englishDefinition,chineseTranslation
evidence,noun,facts or information that show something is true,證據；用來證明某事為真的資料
factor,noun,one thing that helps cause a result,因素；造成某個結果的其中一項原因
cause,noun,the reason why something happens,原因；某件事發生的理由
effect,noun,a change produced by a cause,影響或效果；由某個原因造成的改變
result,noun,what happens because of an action or event,結果；因行動或事件而發生的事
method,noun,a planned way of doing something,方法；有步驟地做某事的方式
process,noun,a series of actions or changes,過程；一連串的行動或變化
data,noun,facts or numbers collected for study,資料；為研究而收集的事實或數字
source,noun,the place where information comes from,來源；資訊出處
theory,noun,an idea that explains how or why something happens,理論；解釋事情如何或為何發生的想法
concept,noun,a general idea about something,概念；對某事物的一般想法
principle,noun,a basic rule or important idea,原則；基本規則或重要觀念
issue,noun,an important subject or problem,議題或問題；需要討論的重要主題
approach,noun,a way of dealing with a subject or problem,做法；處理主題或問題的方式
function,noun,the purpose or job of something,功能；某事物的用途或作用
structure,noun,the way parts are arranged together,結構；各部分組合的方式
context,noun,the situation that helps explain meaning,上下文或背景；幫助理解意思的情境
significant,adjective,important or large enough to notice,重要的或顯著的；大到值得注意
relevant,adjective,directly connected to the subject,相關的；與主題直接有關
likely,adjective,expected to happen or probably true,可能的；預期會發生或很可能為真
increase,verb,to become greater in number or amount,增加；數量或程度變大
decrease,verb,to become smaller in number or amount,減少；數量或程度變小
vary,verb,to be different or to change,有所不同或變化
occur,verb,to happen,發生
indicate,verb,to show that something is true or exists,顯示；指出某事為真或存在
suggest,verb,to show that an idea may be true,暗示；顯示某個想法可能正確
require,verb,to need something,需要；必須具備某事物
contribute,verb,to help cause a result,促成；對某個結果有所貢獻
affect,verb,to produce a change in something,影響；使某事物產生改變
compare,verb,to examine how things are similar or different,比較；查看事物的相同與不同
contrast,verb,to show how things are different,對比；顯示事物之間的差異
determine,verb,to discover or decide something,確定；找出或決定某事
