word,partOfSpeech,englishDefinition,chineseTranslation
aberration,noun,a deviation from what is normal or expected,偏差
abhor,verb,to regard with disgust and hatred,憎恶
admonish,verb,to warn or reprimand someone firmly,告诫
aesthetic,adjective,concerned with beauty or the appreciation of beauty,美学的
affable,adjective,friendly good-natured and easy to talk to,和蔼可亲的
alleviate,verb,to make suffering or a problem less severe,减轻
ambiguous,adjective,open to more than one interpretation,模棱两可的
ameliorate,verb,to make something bad or unsatisfactory better,改善
anomaly,noun,something that deviates from what is standard or normal,异常
apathy,noun,lack of interest enthusiasm or concern,冷漠
arduous,adjective,involving or requiring great effort,艰巨的
austere,adjective,severe or strict in manner or appearance,严厉的
benevolent,adjective,well meaning and kindly,仁慈的
brevity,noun,concise and exact use of words,简洁
candor,noun,the quality of being open and honest,坦率
capricious,adjective,given to sudden changes of mood or behavior,反复无常的
censure,verb,to express strong disapproval of someone,谴责
cogent,adjective,clear logical and convincing,有说服力的
condescending,adjective,having an attitude of superiority toward others,居高临下的
conundrum,noun,a confusing and difficult problem,难题
copious,adjective,abundant in supply or quantity,丰富的
deference,noun,respectful submission to the judgment of another,顺从
deleterious,adjective,causing harm or damage,有害的
disdain,noun,the feeling that something is unworthy of respect,蔑视
dogmatic,adjective,asserting opinions as if they were undeniable facts,武断的
eloquent,adjective,fluent and persuasive in speaking or writing,雄辩的
emulate,verb,to imitate in order to equal or surpass,效仿
enervate,verb,to cause someone to feel drained of energy,使衰弱
ephemeral,adjective,lasting for a very short time,短暂的
equivocate,verb,to use ambiguous language to conceal the truth,含糊其辞
erudite,adjective,having or showing great knowledge,博学的
exacerbate,verb,to make a problem or situation worse,加剧
fastidious,adjective,very attentive to detail and hard to please,挑剔的
frugal,adjective,sparing or economical with money or resources,节俭的
garrulous,adjective,excessively or pointlessly talkative,唠叨的
gregarious,adjective,fond of the company of other people,合群的
hackneyed,adjective,unoriginal and overused,陈腐的
impetuous,adjective,acting quickly without thought or care,鲁莽的
innocuous,adjective,not harmful or offensive,无害的
insidious,adjective,proceeding in a gradual and harmful way,阴险的
intrepid,adjective,fearless and adventurous,勇敢的
laconic,adjective,using very few words,简洁的
lethargic,adjective,sluggish and lacking in energy,昏昏欲睡的
meticulous,adjective,showing great attention to detail,一丝不苟的
mitigate,verb,to make something less severe or serious,缓解
nonchalant,adjective,casually calm and relaxed,漠不关心的
obstinate,adjective,stubbornly refusing to change one's mind,固执的
ostentatious,adjective,designed to impress or attract notice,炫耀的
paramount,adjective,more important than anything else,至高无上的
perfunctory,adjective,carried out with minimal effort or care,敷衍的
pragmatic,adjective,dealing with things sensibly and realistically,务实的
precarious,adjective,not securely held and likely to fall,不稳定的
prosaic,adjective,commonplace and lacking imagination,平淡的
prudent,adjective,acting with care and thought for the future,谨慎的
quell,verb,to put an end to usually by force,平息
rancor,noun,bitter and long-lasting ill will,怨恨
reticent,adjective,not revealing one's thoughts readily,沉默寡言的
sagacious,adjective,having keen judgment and wisdom,睿智的
spurious,adjective,not genuine or true,虚假的
superfluous,adjective,more than is needed or required,多余的
tenuous,adjective,very weak or slight,脆弱的
trivial,adjective,of little value or importance,微不足道的
ubiquitous,adjective,present appearing or found everywhere,无处不在的
venerate,verb,to regard with great respect,尊敬
zealous,adjective,showing great energy for a cause or objective,热心的
